iter	Passed	Remaining
0	50	50937
1	51	25885
2	52	17552
3	53	13359
4	54	10839
5	55	9201
6	56	8006
7	57	7111
8	58	6417
9	59	5864
10	60	5412
11	61	5024
12	62	4721
13	63	4487
14	64	4248
15	65	4036
16	66	3859
17	67	3684
18	68	3532
19	69	3395
20	70	3276
21	71	3158
22	71	3053
23	72	2956
24	73	2864
25	74	2782
26	75	2704
27	75	2631
28	77	2581
29	78	2528
30	79	2474
31	80	2422
32	81	2376
33	82	2330
34	82	2283
35	83	2244
36	84	2204
37	85	2166
38	86	2129
39	87	2094
40	88	2063
41	89	2032
42	89	2001
43	90	1976
44	91	1951
45	92	1926
46	93	1900
47	94	1877
48	95	1857
49	96	1834
50	97	1812
51	98	1788
52	98	1765
53	99	1745
54	100	1725
55	101	1707
56	102	1688
57	102	1672
58	103	1655
59	104	1639
60	105	1628
61	107	1621
62	107	1605
63	108	1590
64	109	1576
65	110	1561
66	111	1548
67	112	1535
68	112	1522
69	113	1510
70	114	1497
71	115	1485
72	116	1474
73	116	1462
74	117	1450
75	118	1438
76	119	1429
77	120	1422
78	121	1414
79	122	1405
80	123	1396
81	123	1387
82	124	1373
83	125	1370
84	126	1362
85	127	1353
86	128	1344
87	129	1337
88	129	1329
89	130	1321
90	131	1313
91	132	1305
92	133	1298
93	134	1293
94	135	1287
95	136	1283
96	137	1277
97	138	1270
98	139	1265
99	140	1260
100	140	1253
101	141	1247
102	142	1241
103	143	1235
104	144	1228
105	145	1223
106	145	1218
107	146	1212
108	147	1209
109	149	1209
110	150	1204
111	151	1199
112	152	1194
113	153	1189
114	153	1183
115	154	1178
116	155	1172
117	156	1166
118	156	1161
119	157	1157
120	158	1151
121	159	1145
122	160	1141
123	160	1136
124	163	1141
125	164	1140
126	165	1136
127	166	1132
128	167	1128
129	167	1124
130	168	1119
131	169	1115
132	170	1110
133	171	1106
134	172	1102
135	172	1098
136	173	1094
137	174	1090
138	175	1086
139	177	1091
140	178	1090
141	179	1084
142	180	1082
143	181	1077
144	182	1073
145	183	1070
146	183	1067
147	184	1063
148	185	1059
149	186	1055
150	187	1051
151	187	1048
152	188	1044
153	189	1040
154	190	1039
155	192	1039
156	192	1035
157	193	1032
158	194	1029
159	195	1025
160	195	1020
161	196	1017
162	197	1014
163	198	1011
164	199	1007
165	199	1004
166	200	1001
167	201	998
168	202	995
169	203	992
170	204	990
171	205	989
172	206	986
173	207	983
174	208	980
175	208	977
176	209	974
177	210	971
178	211	968
179	211	965
180	212	962
181	213	958
182	214	956
183	214	953
184	215	950
185	216	947
186	217	944
187	218	941
188	219	940
189	220	937
190	220	935
191	221	932
192	222	929
193	223	927
194	224	926
195	225	923
196	225	920
197	226	918
198	227	915
199	228	912
200	229	910
201	229	908
202	230	905
203	231	902
204	232	902
205	233	900
206	234	898
207	235	896
208	236	893
209	236	891
210	237	889
211	238	886
212	239	884
213	240	881
214	240	879
215	241	877
216	242	874
217	243	872
